fault_type,injected_n,detected,recall,wilson_low,wilson_high,deterministic
source_border,90,8,0.08888888888888889,0.045730492536794475,0.16570546626054086,False
exact_duplicate,90,90,1.0,,,True
metadata_fault,90,90,1.0,,,True
label_conflict,90,90,1.0,,,True
near_compression,90,90,1.0,,,True
near_contrast,90,90,1.0,,,True
near_resize,90,90,1.0,,,True
pixel_reencode,90,90,1.0,,,True
split_leakage,90,90,1.0,,,True
