tau,pooled_recall,min_stratum_recall,fpr,fp_count,n_controls
0.8,1.0,1.0,0.0,0,540
0.85,0.9962962962962963,0.9666666666666667,0.0,0,540
0.9,0.9814814814814815,0.8333333333333334,0.0,0,540
0.92,0.9703703703703703,0.7333333333333333,0.0,0,540
0.94,0.9703703703703703,0.7333333333333333,0.0,0,540
0.96,0.9666666666666667,0.7333333333333333,0.0,0,540
0.98,0.9259259259259259,0.4666666666666667,0.0,0,540
