fault_type,injected_n,detected,same_component_recall,direct_pairwise_recall
exact_duplicate,90,90,1.0,1.0
label_conflict,90,90,1.0,1.0
metadata_fault,90,90,1.0,1.0
near_compression,90,90,1.0,1.0
near_contrast,90,90,1.0,1.0
near_resize,90,90,1.0,1.0
pixel_reencode,90,90,1.0,1.0
source_border,90,88,0.9777777777777777,0.9777777777777777
split_leakage,90,90,1.0,1.0
