metric,mean_hierarchical_minus_direct,ci_low,ci_high,proportion_difference_gt_zero
accuracy,0.002821778711484604,-0.0021008403361344463,0.007703081232493192,0.8345
balanced_accuracy,0.003531707463498151,-0.00224819951572757,0.009861932938855853,0.875
macro_f1,0.0032868025215793163,-0.001970492861535597,0.008890861017415343,0.885
macro_auc_ovr,-0.0002557948177975657,-0.0007449245601781424,0.00012794663280216964,0.117
ece,0.000702053718653357,-0.004770751288147783,0.005916660129208984,0.5925
brier,0.00011474673979741834,-0.004866912222526185,0.005594100455789226,0.503
nll,0.0026335671712584374,-0.006265013479174412,0.012722504151337598,0.6935
