radius,precision,recall,f1,false_positive_rate,tp,fp,fn,tn
0,1.0,0.8320987654320988,0.908355795148248,0.0,674,0,136,1620
2,1.0,0.8901234567901235,0.9418680600914435,0.0,721,0,89,1620
4,1.0,0.8987654320987655,0.9466840052015605,0.0,728,0,82,1620
6,1.0,0.9135802469135802,0.9548387096774192,0.0,740,0,70,1620
8,0.9986737400530504,0.9296296296296296,0.9629156010230179,0.0006172839506172839,753,1,57,1619
