epoch,train_loss,val_macro_f1
1,0.564371488448605,0.9674833275178303
2,0.06954586089887889,0.9835992810688219
3,0.03351465559565113,0.9852444201778331
4,0.03954899204456597,0.9906067995667852
5,0.03480441873309901,0.9731230738874491
6,0.01781310024187842,0.9927488521742264
7,0.010149195294023958,0.9920343504582965
8,0.01224584250275293,0.9921015757001451
9,0.010876789683413518,0.9955816530527642
10,0.005302485465893551,0.9906766167026607
11,0.004105353221029509,0.9913669529700435
12,0.00473558857466669,0.9978625263652642
13,0.005010920400076975,0.9972219090053588
14,0.0012522225960466358,0.9977153891859775
15,0.002997342032566576,0.9963617099810592
16,0.0013301749362541158,0.9957288335336004
17,0.0006736078377599825,0.9971136086186628
